Unnamed: 0;Complainant;Against;Date;Decision;ComplaintType;ReportName;Locations;PrimaryKey;Complaint
54;Shri Anil Kumar Mishra;Dainik Aaj;;Dismissed;Press and Defamation;AnnualReport2022;;48;Complaint of Shri Anil Kumar Mishra, Prayagraj against DainikJagran and Dainik Aaj. 
38;Shri Anil Kumar Mishra;DainikJagran;;Dismissed;Press and Defamation;AnnualReport2022;;48;Complaint of Shri Anil Kumar Mishra, Prayagraj against DainikJagran and Dainik Aaj. 
75;Election Commission of India;Editor;;Dropped;Paid News;AnnualReport2022;Rajasthan, India;72;Reference received from Election Commission of India, New Delhi against the Editor, “Seema Sandesh” Jaipur, Rajasthan. 
92;Shri Mahesh Kumar Dudi;Editor;21-09-2020;Censured;Principles and Publication;AnnualReport2021;Rajasthan;88;Complaint of Shri Mahesh Kumar Dudi, Jhunjhunu, Rajasthan against the Editor, Dainik Amber, Jhunjhunu, Rajasthan. 
110;Chaudhary Jayveer Singh;Editor;21-09-2020;Cautioned the newspaper;Principles and Publication;AnnualReport2021;Kanpur, U.P;104;Complaint of Shri Prashant Singh, Manager/ Director, Chaudhary Jayveer Singh Mahila Shikshan Sansathan, Kannauj, U.P. against the Editor, Dainik Jagran, Kanpur, U.P. 
109;Shri Prashant Singh;Editor;21-09-2020;Cautioned the newspaper;Principles and Publication;AnnualReport2021;Kanpur, U.P;104;Complaint of Shri Prashant Singh, Manager/ Director, Chaudhary Jayveer Singh Mahila Shikshan Sansathan, Kannauj, U.P. against the Editor, Dainik Jagran, Kanpur, U.P. 
131;Smt. Anju Agrawal;Editor;21-09-2020;Dismissed - No violation of Norms of Journalistic Conduct;Press and Defamation;AnnualReport2021;Ghaziabad, U.P;125;Complaint of Smt. Anju Agrawal, Ghaziabad, U.P against the Editor, Amar Ujala. 
135;Bhagwandeen Sahu;Dainik Bhaskar;21-09-2020;Dismissed – Devoid of merit;Press and Defamation;AnnualReport2021;M.P;128;Complaint of Bhagwandeen Sahu, Sant Shri Asharam Ji Gurukul Chhindwara, M.P. against the Editor, Dainik Bhaskar, Chhindwara, M.P. 
137;Shri Narendra L. Mehta;Editor;21-09-2020;Assurance given by newspaper for publishing apology;Press and Defamation;AnnualReport2021;Maharashtra, Thane;129;Shri Narendra L. Mehta, MLA, MiraBhayandar, Thane, Maharashtra against the Editor, Lakshaydhari, Hindi Weekly, Thane, Maharashtra. 
143;Shri Rajesh Manocha;Editor;21-09-2020;Disposed of with direction to newspaper for publishing complainant’s version;Press and Defamation;AnnualReport2021;Jabalpur, M.P;133;Complaint of Shri Rakesh Manocha, Shri Rajesh Manocha and Shri Ramesh Manocha, Jabalpur, M.P. against the Editor, Dainik Bhaskar, Jabalpur, M.P. 
142;Shri Rakesh Manocha;Editor;21-09-2020;Disposed of with direction to newspaper for publishing complainant’s version;Press and Defamation;AnnualReport2021;Jabalpur, M.P;133;Complaint of Shri Rakesh Manocha, Shri Rajesh Manocha and Shri Ramesh Manocha, Jabalpur, M.P. against the Editor, Dainik Bhaskar, Jabalpur, M.P. 
144;Shri Ramesh Manocha;Editor;21-09-2020;Disposed of with direction to newspaper for publishing complainant’s version;Press and Defamation;AnnualReport2021;Jabalpur, M.P;133;Complaint of Shri Rakesh Manocha, Shri Rajesh Manocha and Shri Ramesh Manocha, Jabalpur, M.P. against the Editor, Dainik Bhaskar, Jabalpur, M.P. 
145;Shri Shiv Mohan Singh;Editor;21-09-2020;Complaint withdrawn as newspaper took action against the journalist;Press and Defamation;AnnualReport2021;Kanpur, U.P;134;Complaint of Shri Shiv Mohan Singh, Executive officer and Shri Vivek Kumar Gupta, Computer Operator (Outsourcing), Nagar Panchayat, Samdhan, Kannauj, U.P against the Editor, Dainik Jagran, Kanpur, U.P. 
146;Shri Vivek Kumar Gupta;Editor;21-09-2020;Complaint withdrawn as newspaper took action against the journalist;Press and Defamation;AnnualReport2021;Kanpur, U.P;134;Complaint of Shri Shiv Mohan Singh, Executive officer and Shri Vivek Kumar Gupta, Computer Operator (Outsourcing), Nagar Panchayat, Samdhan, Kannauj, U.P against the Editor, Dainik Jagran, Kanpur, U.P. 
149;Ms. Ritu Garhwal;Editor;21-09-2020;Dismissed - Complaint misconceived;Press and Defamation;AnnualReport2021;Bareilly, KA;137;Complaint of Ms. Ritu Garhwal, Secretary, Krish Upaj Mandi Samiti, Bareilly, Raisen, M.P. against the Editor, Aaj ka Sanvidhan, Raisen, M.P. 
158;Shri Sandeep Sardana;Editor;22-01-2021;Dismissed - No violation of Norms of Journalistic Conduct;Press and Defamation;AnnualReport2021;Haryana, Hisar;143;Complaint of Shri Sandeep Sardana, Sirsa, Haryana against the Editor, Amar Ujala, Hisar, Haryana. 
162;Shri Darshan Singh;Editor;22-01-2021;Disposed of;Press and Defamation;AnnualReport2021;Punjab, Jalandhar, Sangrur;146;Complaint of Shri Darshan Singh, President, Sant Attar Singh Ji Vidya Parsar and Welfare Committee, Sangrur, Punjab against the Editor, Ajit, Jalandhar, Punjab. 
172;Shri Dev Sharma;Shri Anand Verma;21-09-2020;Disposed of as satisfactory action was taken by newspaper against agency holders;Press and Morality;AnnualReport2021;U.P;154;Complaint of Shri Dev Sharma, Shahjahanpur, U.P. against Shri Neeraj Sharma and Shri Anand Verma, Agency Holders of Dainik Jagran, Shahjahanpur, U.P. 
171;Shri Dev Sharma;Shri Neeraj Sharma;21-09-2020;Disposed of as satisfactory action was taken by newspaper against agency holders;Press and Morality;AnnualReport2021;U.P;154;Complaint of Shri Dev Sharma, Shahjahanpur, U.P. against Shri Neeraj Sharma and Shri Anand Verma, Agency Holders of Dainik Jagran, Shahjahanpur, U.P. 
176;Shri Wakilur Rehman Khan;Owner;21-09-2020;Disposed of being outside jurisdiction;Press and Morality;AnnualReport2021;Muzaffarpur, Bihar;157;Complaint of Shri Wakilur Rehman Khan, Editor, Prabhat Khabar, Hindi Dainik, West Champaran, Bihar against the Resident Editor and the Owner, Prabhat Khabar, Muzaffarpur, Bihar. 
175;Shri Wakilur Rehman Khan;Resident Editor;21-09-2020;Disposed of being outside jurisdiction;Press and Morality;AnnualReport2021;Muzaffarpur, Bihar;157;Complaint of Shri Wakilur Rehman Khan, Editor, Prabhat Khabar, Hindi Dainik, West Champaran, Bihar against the Resident Editor and the Owner, Prabhat Khabar, Muzaffarpur, Bihar. 
180;Raju Gaur;Editor;15/11/2018;Dismissed - Non appearance of parties;Paid News;AnnualReport2019;Meerut, U.P;165;Complaint of Sh. Sharad Gaur @ Raju Gaur, S/o Sh. Gurudatt Gaur, Meerut, U.P against the Editor, Dainik Jagran, Meerut, U.P. 
181;Sh. Gurudatt Gaur;Editor;15/11/2018;Dismissed - Non appearance of parties;Paid News;AnnualReport2019;Meerut, U.P;165;Complaint of Sh. Sharad Gaur @ Raju Gaur, S/o Sh. Gurudatt Gaur, Meerut, U.P against the Editor, Dainik Jagran, Meerut, U.P. 
179;Sh. Sharad Gaur;Editor;15/11/2018;Dismissed - Non appearance of parties;Paid News;AnnualReport2019;Meerut, U.P;165;Complaint of Sh. Sharad Gaur @ Raju Gaur, S/o Sh. Gurudatt Gaur, Meerut, U.P against the Editor, Dainik Jagran, Meerut, U.P. 
199;Sh. Shashi Kant Kumar;Prabhat Khabar;15/11/2018;Dismissed on merits;Paid News;AnnualReport2019;Jharkhand;182;Complaint of Sh. Shashi Kant Kumar, Jharkhand against The Editor,Prabhat Khabar. 
198;Sh. Shashi Kant Kumar;The Editor;15/11/2018;Dismissed on merits;Paid News;AnnualReport2019;Jharkhand;182;Complaint of Sh. Shashi Kant Kumar, Jharkhand against The Editor,Prabhat Khabar. 
203;Sh. K.B. Sinha;The Editor;15/11/2018;Censured;Paid News;AnnualReport2019;Delhi, Pune;186;Complaint of Sh. K.B. Sinha, Under Secretary, AYUSH, New Delhi against The Editor, Pune Mirror, Pune. 
219;Shri N.L. Singh;Editor;26/9/2018;Disposed of with direction;Press and Defamation;AnnualReport2019;Lucknow, N.L;201;Complaint of Shri N.L. Singh R e t d . C h i e f P h a r m a c i s t , Lucknow, U.P against the Editor, Awami Salar, L u c k n o w. 
229;Ms. Shusheela J;Editor;26/9/2018;Disposed of with direction;Press and Defamation;AnnualReport2019;Lucknow, U.P;209;Complaint of Shri Shashi Kumar, (Ms. Shusheela J), Raibarely, U.P against the Editor, Jansandesh Times, Lucknow, U.P. 
228;Shri Shashi Kumar;Editor;26/9/2018;Disposed of with direction;Press and Defamation;AnnualReport2019;Lucknow, U.P;209;Complaint of Shri Shashi Kumar, (Ms. Shusheela J), Raibarely, U.P against the Editor, Jansandesh Times, Lucknow, U.P. 
232;Dr. Anil Kumar Dubey;Editor;26/9/2018;Dismissed with direction;Press and Defamation;AnnualReport2019;;213;Complaint of Dr. Anil Kumar Dubey, Bilaspur against the Editor, Hari Bhoomi. 
237;Shri Arun Sharma;Editor;26/9/2018;Dismissed;Press and Defamation;AnnualReport2019;Ujjain, M.P;217;Compliant Shri Arun Sharma, Ujjain, M.P. against the Editor, Dabang Dunia. 
239;Shri Abdul Rehman Madani;Editor;26/9/2018;Disposed of;Press and Defamation;AnnualReport2019;M.P;218;Complaint of Shri Abdul Rehman Madani, Khandva, M.P against the Editor, Khabar Expose, Khandva, M.P. 
242;Dr. B.L. Yadav;Editor;26/9/2018;Disposed of;Press and Defamation;AnnualReport2019;Gwalior, M.P;219;Complaint of Dr. B.L. Yadav, Teacher, Shikhsha Mahavidyalya, Gwalior against the Editor, D Pulkit today Saptahik, Birla Nagar Gwalior, M.P. 
246;Smt. Seema Chauhan;Editor;26/9/2018;Censured with direction;Press and Defamation;AnnualReport2019;M.P;222;Complaint of Smt. Seema Chauhan, President, Matra Shakti Sangathan, Near Reliance Tower, Barapathar, Siwani, M.P. against the Editor, Hindi Gazette, Siwani. 
252;Dr. Pratap Agarwal;Editor;26/9/2018;Dismissed;Press and Defamation;AnnualReport2019;Chattisgarh;227;Complaint of Dr. Pratap Agarwal, Chattisgarh against the Editor, Hari Bhoomi. 
254;Shri Dinesh Dubey;Dainik Bhaskar;26/9/2018;Censured with direction;Press and Defamation;AnnualReport2019;Bhopal, M.P;228;Complaint of Shri Dinesh Dubey, Manager, Shah Rajya Pariyojna, Bhopal against the editor, Dainik Bhaskar, M.P.
258;Laxmi Naryan Upadhya;Editors;26/9/2018;Disposed of;Press and Defamation;AnnualReport2019;Uttar Pradesh, Agra;230;Complaint of Shri Birjesh Kr. Upadhya, S/o Laxmi Naryan Upadhya, Firozbad, U.P against the Editors, Next Future, Agra, Uttar Pradesh. 
257;Shri Birjesh Kr. Upadhya;Editors;26/9/2018;Disposed of;Press and Defamation;AnnualReport2019;Uttar Pradesh, Agra;230;Complaint of Shri Birjesh Kr. Upadhya, S/o Laxmi Naryan Upadhya, Firozbad, U.P against the Editors, Next Future, Agra, Uttar Pradesh. 
259;Shri Anand Dev Singh;Editor;26/9/2018;Disposed of;Press and Defamation;AnnualReport2019;U.P;231;Complaint of Shri Anand Dev Singh, Deputy Director, Prasar Bharti, Varanarshi U.P against the Editor, Amar Ujjala,. 
263;Shri Anand Dev Singh;Editors;26/9/2018;Disposed of;Press and Defamation;AnnualReport2019;U.P;232;Complaint of Shri Anand Dev Singh, Deputy Director, Prasar Bharti, Varanarshi U.P against the Editors, Hindustan. 
265;Shri Anand Dev Singh;Jan Sandesh Times;26/9/2018;Disposed of;Press and Defamation;AnnualReport2019;U.P;233;Complaint of Shri Anand Dev Singh, Deputy Director, Prasar Bharti, Varanarshi U.P against the Editor, Jan Sandesh Times. 
271;Shri Naim Ahmed;Editor;26/9/2018;Disposed of;Press and Defamation;AnnualReport2019;;238;Complaint of Shri Naim Ahmed Associate Professor, Department of Community Medicine & Public Health, King George's Medical University, Lucknow against the Editor, Amar Ujala, Lucknow. 
277;Shri Avninder;Editor;26/9/2018;Dismissed;Press and Defamation;AnnualReport2019;Uttar Pradesh;242;Smt. Latesh Rani, W/o Shri Avninder, 37 M.E.S Colony, Izzat Nagar, Bareli, Uttar Pradesh against the Editor, Amar Ujala, Bareli, Uttar Pradesh. 
276;Smt. Latesh Rani;Editor;26/9/2018;Dismissed;Press and Defamation;AnnualReport2019;Uttar Pradesh;242;Smt. Latesh Rani, W/o Shri Avninder, 37 M.E.S Colony, Izzat Nagar, Bareli, Uttar Pradesh against the Editor, Amar Ujala, Bareli, Uttar Pradesh. 
279;Shri Harishankar Gupta;Editor;26/9/2018;Disposed of;Press and Defamation;AnnualReport2019;Uttar Pradesh;243;Complaint of Shri Sanjay Gupta S/o Shri Harishankar Gupta, Shahjahanpur, Uttar Pradesh, against the Editor, Hindustan, Hindustan Media Venture Limited, Bareli, Uttar Pradesh. 
278;Shri Sanjay Gupta;Editor;26/9/2018;Disposed of;Press and Defamation;AnnualReport2019;Uttar Pradesh;243;Complaint of Shri Sanjay Gupta S/o Shri Harishankar Gupta, Shahjahanpur, Uttar Pradesh, against the Editor, Hindustan, Hindustan Media Venture Limited, Bareli, Uttar Pradesh. 
298;Sh. Parveen Mohan Sahai;Editor;15/11/2018;Dismissed on merits;Press and Defamation;AnnualReport2019;;262;Complaint of Sh. Parveen Mohan Sahai, Regional Passport Officer, Shimla against the Editor, Amar Ujala. 
302;Smt. Nidhi Notiyal;Editor;15/11/2018;Dismissed on merits;Press and Defamation;AnnualReport2019;;265;Complaint of Smt. Nidhi Notiyal, Dehradun against the Editor, Amar Ujala.
306;Shri Minoo Dinshaw Irani;Editor;15/11/2018;Disposed of with direction to publish complainant version;Press and Defamation;AnnualReport2019;;268;Complaint of Shri Minoo Dinshaw Irani, Palghar against the Editor, Mid-Day. 
316;Sayyad Niyaz Ali;Editor;15/2/2019;Disposed of;Press and Defamation;AnnualReport2019;Maharashtra, Amravati;276;Complaint of Shri Sayyad Tanvir Alam Sayyad Niyaz Ali, Amravati, Maharashtra against the Editor, Preranapunj, Amravati. 
315;Shri Sayyad Tanvir Alam;Editor;15/2/2019;Disposed of;Press and Defamation;AnnualReport2019;Maharashtra, Amravati;276;Complaint of Shri Sayyad Tanvir Alam Sayyad Niyaz Ali, Amravati, Maharashtra against the Editor, Preranapunj, Amravati. 
319;Shri Akhil H. Mishra;Editor;15/2/2019;Disposed of being sub-judice;Press and Defamation;AnnualReport2019;Nagpur, Maharashtra;278;Complaint of Shri Santosh Kumar Deviprasad Shukla, Clerk, Office of Superintendent of Police, Washim through Shri Akhil H. Mishra, Advocate against the Editor, Lokshahi Varta, Nagpur, Maharashtra. 
318;Shri Santosh Kumar Deviprasad Shukla;Editor;15/2/2019;Disposed of being sub-judice;Press and Defamation;AnnualReport2019;Nagpur, Maharashtra;278;Complaint of Shri Santosh Kumar Deviprasad Shukla, Clerk, Office of Superintendent of Police, Washim through Shri Akhil H. Mishra, Advocate against the Editor, Lokshahi Varta, Nagpur, Maharashtra. 
323;Shri Ajay Gupta;Editor;15/11/2018;Dismissed;Press and Morality;AnnualReport2019;Ujjain, M.P;283;Shri Ajay Gupta, Advocate, 52/4, Dhanwari Marg, Ujjain, M.P against the Editor, Dainik Nai Duniya. 
337;Shri Sunjjoy Manohar Dhake;District Magistrate;June 7 21st, 2017;Censured;Principles and Publication;AnnualReport2018;Maharashtra, Pune;299;Complaint of Shri Sunjjoy Manohar Dhake, Publisher, Kothrud Times, Pune against The Editor, Kothrud Times, Supplement of Maharashtra Times, Bennett, Coleman and CO. Ltd, (BCCL), Pune, RNI and District Magistrate, Pune
336;Shri Sunjjoy Manohar Dhake;The Editor;June 7 21st, 2017;Censured;Principles and Publication;AnnualReport2018;Maharashtra, Pune;299;Complaint of Shri Sunjjoy Manohar Dhake, Publisher, Kothrud Times, Pune against The Editor, Kothrud Times, Supplement of Maharashtra Times, Bennett, Coleman and CO. Ltd, (BCCL), Pune, RNI and District Magistrate, Pune
339;Ms. Jyotika Wale;Editor;June 21st, 2017;Disposed of with observations;Principles and Publication;AnnualReport2018;;300;Complaint of Ms. Versha Vidya Vilas & Ms. Jyotika Wale, Member, Action for the Rights of the Child (ARC), Vishrantuadi, Pune against the Editor, The Pune Mirror, Pune edition, Times of India
338;Ms. Versha Vidya Vilas;Editor;June 21st, 2017;Disposed of with observations;Principles and Publication;AnnualReport2018;;300;Complaint of Ms. Versha Vidya Vilas & Ms. Jyotika Wale, Member, Action for the Rights of the Child (ARC), Vishrantuadi, Pune against the Editor, The Pune Mirror, Pune edition, Times of India
356;Shri Vijay Trimbak Gokhale;Editor;September 21st, 2017 ;Dismissed;Principles and Publication;AnnualReport2018;Mumbai, Maharashtra;317;Complaint of Shri Vijay Trimbak Gokhale, Mumbai against the Editor, Loksatta, Maharashtra and Thomson Reuter (I) Pvt. Ltd, Mumbai M Complaint of Shri. Vijay Trimbak Gokhale, Mumbai against the Editor, Loksatta, Navi Mumbai
367;Prof. S. Krishnaiah;Editor;October 9, 2017;Dismissed;Principles and Publication;AnnualReport2018;AP;327;Complaint of Prof. S. Krishnaiah, Ragistrar Jawaharlal Nehru Technological University, AP against the Editor, Sakshi, Telugu Daily, Hyderbad
369;Ms. Preeti Shah;editor;October 9, 2017;Censured;Principles and Publication;AnnualReport2018;;328;Complaint of Ms. Preeti Shah, Chief General Manager-CERC editor, Grahaksaathi, Ahmedabad against the editor, Times of India, Ahmedabad
380;Shri Karanam C;Editor;June 21st, 2017;Dismissed;Press and Defamation;AnnualReport2018;A.P;338;Complaint of Shri Karanam C, Hyderbad, A.P. against the Editor, Prajasakthi, A.P.
384;Shri Karanam C;A.P.;June 21st, 2017;Dismissed;Press and Defamation;AnnualReport2018;A.P;339;Complaint of Shri Karanam C, Hyderbad, A.P. against the Editor, Andhra Jyothi, A.P.
383;Shri Karanam C;Andhra Jyothi;June 21st, 2017;Dismissed;Press and Defamation;AnnualReport2018;A.P;339;Complaint of Shri Karanam C, Hyderbad, A.P. against the Editor, Andhra Jyothi, A.P.
386;Shri Karanam C;A.P.;June 21st, 2017;Dismissed;Press and Defamation;AnnualReport2018;A.P;340;Complaint of Shri Karanam C, Hyderbad, A.P. against the Editor, Sakshi, A.P.
385;Shri Karanam C;Sakshi;June 21st, 2017;Dismissed;Press and Defamation;AnnualReport2018;A.P;340;Complaint of Shri Karanam C, Hyderbad, A.P. against the Editor, Sakshi, A.P.
389;Shri Baleowda;Editor;June 21st, 2017;Close being sub-judice;Press and Defamation;AnnualReport2018;;343;Complaint of Shri Baleowda, Kunigal, Bangalore against the Editor, Yuvakraanth-kaarigal Asthra, Bangalore
392;Shri Ram Prasad Patel;Editor;June 21st, 2017;Dismissed;Press and Defamation;AnnualReport2018;Sagar, MP;345;Complaint of Shri Ram Prasad Patel, Sagar, MP against the Editor Peoples Samacharpatra
397;Shri Bhagwandeen Sahu;Dainik Bhaskar;June 21st, 2017;Dismissed;Press and Defamation;AnnualReport2018;M.P;348;Complaint of Shri Bhagwandeen Sahu, Spokesman, Shri Vedant Seva Samiti, Chhindwada, M.P. against the Dainik Bhaskar, Chhindwada, M.P.
409;Shri K.P. Singh;Dainik Rashtradoot M;June 21st, 2017;Dismissed;Press and Defamation;AnnualReport2018;Rajasthan;360;Complaint of Shri K.P. Singh, President, Ksthetriya Gramin Bank, Rajasthan against the editor, Dainik Rashtradoot M Complaint of Shri K.P. Singh, President, Ksthetriya Gramin Bank, Rajasthan against the editor, Dainik Navjyoti
410;Shri K.P. Singh;Shri K.P. Singh;June 21st, 2017;Dismissed;Press and Defamation;AnnualReport2018;Rajasthan;360;Complaint of Shri K.P. Singh, President, Ksthetriya Gramin Bank, Rajasthan against the editor, Dainik Rashtradoot M Complaint of Shri K.P. Singh, President, Ksthetriya Gramin Bank, Rajasthan against the editor, Dainik Navjyoti
413;Shri Damodar;editor;June 21st, 2017;Dismissed;Press and Defamation;AnnualReport2018;Indore, M.P;363;Complaint of Shri Damodar, President and Shri Rahul, Media Incharge, Maa Narmada Uddahan Samiti, Bistan Shetra, Khargon, M.P. against the editor, Patrika, Indore, M.P.
414;Shri Rahul;editor;June 21st, 2017;Dismissed;Press and Defamation;AnnualReport2018;Indore, M.P;363;Complaint of Shri Damodar, President and Shri Rahul, Media Incharge, Maa Narmada Uddahan Samiti, Bistan Shetra, Khargon, M.P. against the editor, Patrika, Indore, M.P.
416;Mohd. Khalid;Editor;June 21st, 2017;Disposed off;Press and Defamation;AnnualReport2018;UP, Meerut;364;Complaint of Shri Yashvir Singh, Gautam Budh Nagar, U.P and Mohd. Khalid, Meerut, U.P against the Editor, Dainik Jagran, Meerut, UP
415;Shri Yashvir Singh;Editor;June 21st, 2017;Disposed off;Press and Defamation;AnnualReport2018;UP, Meerut;364;Complaint of Shri Yashvir Singh, Gautam Budh Nagar, U.P and Mohd. Khalid, Meerut, U.P against the Editor, Dainik Jagran, Meerut, UP
420;Jemendra Kumar;Dainik Lokmat;June 21st, 2017;Dismissed M;Press and Defamation;AnnualReport2018;;367;Complaint of Shri Sachin Jaiswal, MLA, Sitaupur through his Counsel Jemendra Kumar, Advocate, High Court, Lucknow against the Editor, Dainik Lokmat
419;Shri Sachin Jaiswal;Dainik Lokmat;June 21st, 2017;Dismissed M;Press and Defamation;AnnualReport2018;;367;Complaint of Shri Sachin Jaiswal, MLA, Sitaupur through his Counsel Jemendra Kumar, Advocate, High Court, Lucknow against the Editor, Dainik Lokmat
422;Shri Sayed Rizwan Ali;Editor;June 21st, 2017;Dismissed;Press and Defamation;AnnualReport2018;Bhopal, M.P;369;Complaint of Shri Sayed Rizwan Ali, Bhopal, M.P. against the Editor, Parivarik Dastak, Bhopal, M.P.
437;Shri Mohd. Khalid;editor;September 21st, 2017;Dismissed;Press and Defamation;AnnualReport2018;Meerut, U.P;385;Complaint of Shri Mohd. Khalid, Advocate on behalf of Shri Pramod Kumar Singh Chauhan, Meerut, U.P. against the editor, Dainik Jagran, U.P.
438;Shri Pramod Kumar Singh Chauhan;editor;September 21st, 2017;Dismissed;Press and Defamation;AnnualReport2018;Meerut, U.P;385;Complaint of Shri Mohd. Khalid, Advocate on behalf of Shri Pramod Kumar Singh Chauhan, Meerut, U.P. against the editor, Dainik Jagran, U.P.
441;Director;Editor;September 21st, 2017;Settled;Press and Defamation;AnnualReport2018;Haryana;388;Complaint of the Director, Chetna School of Nursing, Jind, Haryana against the Editor, Dainik Jagarn. (Nr)
451;Sri Surendra Kumar Jain;Editor;September 21st, 2017;Censured;Press and Defamation;AnnualReport2018;M.P;396;Complaint of Sri Surendra Kumar Jain, Harda, M.P. against the Editor, Dainik Jagran, M.P.
453;Shri Pramod Sahu;Editor;September 21st, 2017;Dismissed;Press and Defamation;AnnualReport2018;Indore, MP;397;Complaint of Shri Pramod Sahu, Mahu, MP against the Editor, Pariwarik Dastak, Indore
457;Shri Ram Prasad Patel;Editor;September 21st, 2017;Disposed of with direction;Press and Defamation;AnnualReport2018;Sagar, Madhya Pradesh;398;Compliant of Shri Ram Prasad Patel, President, Gram Vikas Sanstha, Sagar, Madhya Pradesh against the Editor, Hari Bhumi, Govindpur, Madhya Pradesh
