;ComplaintType;Complaint;Date;Decision;Report_name;PrimaryKey
59;Suo-Motu Cognizance;Suo Motu cognizance with regard to publication of Obscene and Vulgar news item violating Norm 28 (I,V,VII) “Obscenity and Vulgarity to be Eschewed “of the Press Council Norms of Journalistic Conduct Edition, 2019” (Against Ahmedabad Mirror in Gujarat and Navbharat Times in New Delhi). ;;Dropped;AnnualReport2022;59
158;Suo-Motu Cognizance;Suo-motu cognizance with regard to publication of classified, obscene, vulgar and misleading advertisements by Hindustan, New Delhi. ;22-01-2021;Censured;AnnualReport2021;158
159;Suo-Motu Cognizance;Suo-motu cognizance with regard to publication of classified, obscene, vulgar and misleading advertisements by Hindustan, New Delhi. ;22-01-2021;Censured;AnnualReport2021;159
160;Suo-Motu Cognizance;Suo-motu cognizance with regard to publication of fake news by Dainik Bhaskar. ;22-01-2021;Censured;AnnualReport2021;160
161;Suo-Motu Cognizance;Suo-motu cognizance against the Hindustan for violating Journalistic Norms. ;22-01-2021;Censured;AnnualReport2021;161
162;Suo-Motu Cognizance;Suo-motu cognizance with regard to the publication of news item projecting the Hon’ble President of India in a satirical manner and use of sensational headlines by the Telegraph in its issue dated 17.03.2020 amounting to the breach of Norm 19 (i)(a) (b) and 31 (vi) of Norms of Journalistic Conduct. ;22-01-2021;Censured with direction;AnnualReport2021;162
211;Press and Defamation;Complaint of Shri Shatrujeet Kapur, IPS, Panchkula. Chandigarh against t h e E d i t o r , T h e T r i b u n e , Chandigarh. ;26/9/2018;Dismissed;AnnualReport2019;211
280;Press and Defamation;Complaint of Shri Daxesh Kanaiyalal Chhunchha/Khatri, Ahmedabad, Gujarat against the Editor, Ahmedabad Mirror, Ahmedabad, Gujarat. ;15/2/2019;Dismissed;AnnualReport2019;280
287;Suo-Motu Congnizance;Suo-motu cognizance against the editor, Crime Line, Shahjahanpur for distribution of fake appointment letter and Identity Card to person in the name of journalist. ;26/9/2018;Proceedings dropped;AnnualReport2019;287
288;Suo-Motu Congnizance;Suo-motu cognizance w.r.t. news published in The Hindu regarding publication of a news item in its dated 01.10.2017, Tamil Nadu. ;15/11/2018;Proceedings dropped - paper expresses apology;AnnualReport2019;288
289;Paid News;Suo-motu action against Hari Bhoomi, Raipur for publication of paid news (case relisted as per direction given by Hon'ble Supreme Court of India). ;15/11/2018;Disposed of with observations;AnnualReport2019;289
298;Principles and Publication;Complaint of Shri Yusuf Ali Bohra, Secretary, Dawoodi Bohra Jammat, Udaipur (Raj.) against the Rashtradoot, Udaipur (Raj.);June 21st, 2017;Dismissed;AnnualReport2018;298
349;Press and Defamation;Complaint of Financial Technologies (India) Ltd., Delhi against Business Standard;June 21st, 2017;Dismissed;AnnualReport2018;349
373;Press and Defamation;Complaint of Shri Somnath Pawar, Gurukul Chhindwara, M.P. against the editor Jabalpur Exrpess Chhindwara;June 21st, 2017;Dismissed;AnnualReport2018;373
374;Press and Defamation;Complaint of Shri Ramesh Kumar Bakshi, Vice- President (P&A), Birla Corporation Limited, Unit Satna Cement Works, Satna, M.P. againt the editor People Observer, Satna, M.P.;June 21st, 2017;Censured;AnnualReport2018;374
389;Press and Defamation;Complaint of Smt. Arti Agarwal, M.P. against the editor, Semariya Express, M.P.;September 21st, 2017;Censured;AnnualReport2018;389
417;Press and Defamation;Complaint of Shri Murari Lal Bansal, M.P. against the editor Star Samachar, M.P.;October 9, 2017;Disposed off;AnnualReport2018;417
451;Principles and Publication;Complaint of Shri Harinarayan Dubey, Superintendent, Vaishya College of law, Rohtak against Hari Bhoomi;September 9th, 2016;Dismissed complaint withdrawn;AnnualReport2017;451
471;Principles and Publication;Complaint of Shri Rajesh S. Naik, President, Paranpai Citizen Forum, Madkai against Tarun Bharat, Goa;September 9th, 2016;Disposed of with direction;AnnualReport2017;471
486;Principles and Publication;Complaint of Shri Ram Dayal, Anoopur, MP against Haribhoomi, Madhya Pradesh;November 17th, 2016;Dismissed;AnnualReport2017;486
499;Press and Defamation;Complaint of Ms. Birendra Kaur, President, Institute of Sikh Studies, Chandigarh against Chandigarh Tribune, Chandigarh;June 10th, 2016;Regret published – Disposed off;AnnualReport2017;499
554;Press and Defamation;Complaint of Maharajganj, U.P. against Editor, Voice of lucknow, U.P.;September 9th, 2016;Reprimanded;AnnualReport2017;554
555;Press and Defamation;Complaint of Major Farah Diba, Allahabad against Hindustan, Allahabad, Uttar Pradesh;September 9th, 2016;Dismissed on merit;AnnualReport2017;555
558;Press and Defamation;Complaint of GVK Emergency Management & Research Institute, Ahmedabad against editor, Abhivyakthi Gujarat;September 9th, 2016;Dismissed being Sub- Judice;AnnualReport2017;558
575;Press and Defamation;Complaint of Shri Jnyana Ranjan Behera, M.D., Balasor, Odisha against Odisha Khabar, Odisha;September 9th, 2016;Censured;AnnualReport2017;575
597;Press and Defamation;Complaint of Shri A.K. Verrma, Joint General Manager, Ordinance Parachute Factory, Kanpur against Hindustan, Kanpur.;September 9th, 2016;Disposed of with direction;AnnualReport2017;597
606;Press and Defamation;Complaint of Shri S.P. Yadav, IOFS (Retd.) Jabalpur against Pradesh Today;September 9th, 2016;Censured;AnnualReport2017;606
607;Press and Defamation;Complaint of Shri D.K. Chopra, New Delhi against Samvada, New Delhi.;November 17th, 2016;Dismissed being devoid of merit;AnnualReport2017;607
636;Press and Defamation;Complaint of Shri B.R. Prasad, Former Commissioner, Allahabad, UP against United Bharat;November 17th, 2016;Dismissed on merits;AnnualReport2017;636
753;Paid News;Reference received from the Collector, District Election Offcier and President, District Level MCMC, District Dhamtari, Chhatisgarh regarding publication of an alleged ‘Paid News’ in Swadesh newspapers;June 10th, 2016 June 10th, 2016;Dismissed;AnnualReport2017;753
754;Paid News;M Reference received from the Collector, District Election Offcier and President, District Level MCMC, District Dhamtari, Chhatisgarh regarding publication of an alleged ‘Paid News’ in rakhar newspapers;M;Dismissed;AnnualReport2017;754
755;Paid News;Reference received from the Collector and President, District Level MCMC, Offcie of the Collector/District Election Offcier, Sivani, M.P. regarding publication of allegedly ‘Paid News’ in Samvad Kunj newspaper;June 10th, 2016;Dismissed;AnnualReport2017;755
756;Paid News;Reference received from Shri A.S. Mawkhiew, Under Secretary to the Government of Meghalaya, Elections Department and Assistant Chief Electoral Officer, Meghalaya, Shillong regarding publication of allegely ‘Paid News’ in U-Rupang, Shillongnewspaper;June 10th, 2016;Dismissed for non - pursuance;AnnualReport2017;756
757;Paid News;M Reference received from Shri A.S. Mawkhiew, Under Secretary to the Government of Meghalaya, Elections Department and Assistant Chief Electoral Officer, Meghalaya, Shillong regarding publication of allegely ‘Paid News’ in U-Kynjastshai, Shillong newspaper;June 10th, 2016;Dismissed for non - pursuance;AnnualReport2017;757
758;Paid News;Suo-motu action on reference received from Election Commission of India against “Amrit India” for publication of alleged ‘Paid News’ during General Elections to legislative Assembly of Rajasthan-2013 in the garb of news;September 9th, 2016;Dismissed on merit;AnnualReport2017;758
759;Paid News;Suo-motu action on reference received from Election Commission of India against “Inquilab” for publication of alleged ‘Paid News’ during General Elections to legislative Assembly of Rajasthan-2013 in the garb of news;September 9th, 2016;Dismissed on merit;AnnualReport2017;759
760;Paid News;Suo-motu action on reference received from Election Commission of India against “SidhiKhabar” for publication of alleged ‘Paid News’ during General Elections to legislative Assembly of Rajasthan-2013 in the garb of news;September 9th, 2016;Dismissed;AnnualReport2017;760
761;Paid News;Reference received from Election Commission of India, New Delhi regarding Paid News in General Election-2014 against Dainik Rajasthan Statement;September 9th, 2016;Dismissed on merit;AnnualReport2017;761
822;Paid News;Reference received from Election Commission of India, New Delhi against ,Khabar, Bhubaneshwar, Odissa;September 9th, 2016;Dismissed;AnnualReport2017;822
885;Press and Morality;Complaint of Shri Sunjjoy Manohar Dahake, Publisher/Editor, Pune Mirror against BCCl;November 17th, 2016;Disposed off with observation;AnnualReport2017;885
886;Suo-Motu;Suo-motu cognizance w.r.t. attacks on lokmat Officer in Maharashtra & Complaint of Shri Kareem Chand Sheikh against Editor, lokmat.;June 10th, 2016;Disposed off apology published;AnnualReport2017;886
887;Suo-Motu;Suomotu cognizance for publishing distorted version of Shri V.K. Singh’s statement in Dainik Bhaskar;November 17th, 2016;Dropped;AnnualReport2017;887
888;Suo-Motu;Suomotu cognizance for publishing distorted version of Shri V.K. Singh’s statement in Rashtirya Sahara;November 17th, 2016;Dropped;AnnualReport2017;888
889;Suo-Motu;Suomotu cognizance for publishing distorted version of Shri V.K. Singh’s statement in Navbharat Times;November 17th, 2016;Dropped;AnnualReport2017;889
890;Suo-Motu;Suomotu cognizance for publishing distorted version of Shri V.K. Singh’s statement in Jansatta;November 17th, 2016;Dropped;AnnualReport2017;890
891;Suo-Motu;Suomotu cognizance for publishing distorted version of Shri V.K. Singh’s statement in The Mail Today;November 17th, 2016;Dropped;AnnualReport2017;891
892;Suo-Motu;Suomotu cognizance for publishing distorted version of Shri V.K. Singh’s statement in The Pioneer;November 17th, 2016;Dropped;AnnualReport2017;892
893;Suo-Motu;Suomotu cognizance for publishing distorted version of Shri V.K. Singh’s statement in Times of India;November 17th, 2016;Dropped;AnnualReport2017;893
894;Suo-Motu;Suomotu cognizance for publishing distorted version of Shri V.K. Singh’s statement in Dainik Tribune;November 17th, 2016;Dropped;AnnualReport2017;894
897;Suo-Motu;Deliberations on objectionable contents of cover story published in Outlook.;November 17th, 2016;Warned;AnnualReport2017;897
898;Suo-Motu;Suo-motu action on reference received from Election Commission of India against “Dainik Jagran” for publication of alleged ‘Paid News’ during General Elections to legislative Assembly of Rajasthan - 2013 in the garb of news;November 17th, 2016;Dismissed with observation;AnnualReport2017;898
899;Suo-Motu;Suo-motu action on reference received from Election Commission of India against “Rahat Times” for allegedly publishing ‘Paid News’ during General Elections to the lok Sabha-2014 in the garb of news;November 17th, 2016;Dismissed on merits;AnnualReport2017;899
900;Suo-Motu;Suo-motu action on reference received from Election Commission of India against the Editor, Janta Union for publication of an alleged “Paid News” during General Elections 2014 in the garb of news;November 17th, 2016;Censured;AnnualReport2017;900
969;Principles and Publication;Complaint of Shri Brahmanand Shukla, President, Mohalla Suraksha Vikas Samiti, Salori, Allahabad against Hindustan.;March 17, 2016;Dismissed for non-pursuance;AnnualReport2016;969
1046;Principles and Defamation;Complaint against Shri Ranjit Singh, Patiala (issue emergent from the complaint of Shri Ranjit Singh against the Editor Chardikala, Patiala) for fliing false declaration in the Council.;August 8, 2015;Dismissed with default;AnnualReport2016;1046
1100;Principles and Defamation;Complaint of Shri Paban Singh Ghatowar, Former Union Minister, New Delhi against Agradoot, Guwahati.;March 17, 2016;Disposed of with direction;AnnualReport2016;1100
1117;Press and Morality;Complaint of Shri Sonu Maheshwari, Chairman, Noujwan Welfare Soch, Bhatinda, Punjab against Punjab Kesari;March 17, 2016;Warn;AnnualReport2016;1117
1143;Principles and Publication;Complaint of Shri Pramal Kumar Ohri, District Kapurthala, Punjab against Phagwara- Kapurthala Kesari, Punjab.;“ M;Settled;AnnualReport2015;1143
1146;Principles and Publication;Press and Defamation;;;AnnualReport2015;1146
1161;Principles and Publication;Complaint of Shri L. R. Vishwanath, Additional Director General ;June 2, 2014;Disposed of Direction;AnnualReport2015;1161
1210;Principles and Publication;Complaint of Shri Pramal Kumar Ohri, District Kapurthala, Punjab against Phagwara- Kapurthala Kesari, Punjab.;“ M;Settled;AnnualReport2015;1210
1213;Principles and Publication;Press and Defamation;;;AnnualReport2015;1213
1228;Principles and Publication;Complaint of Shri L. R. Vishwanath, Additional Director General ;June 2, 2014;Disposed of Direction;AnnualReport2015;1228
1263;Principles and Publication;Suo-motu action against the Editors, Hindustan Times, Patna, Bihar for publication of allegedly ‘Paid News’ during election in the garb of news.;};Disposed of;AnnualReport2014;1263
1281;Press and Defamation;Complaint of Shri P.V. Subramanyam@ Suresh, Andhra Pradesh against the Editor, Dharmachakaram, East Godawari, Andhra Pradesh.;July 22, 2013;Dismissed the matter for default;AnnualReport2014;1281
1444;Principles and Publication;Complaint of Sh. Hari C. Polavarapu against India Week.;July 12, 1990;A;AnnualReport1991;1444
1452;Principles and Publication;Complaint of Sh. G. P. Agarwal, Agra against Amar Ujala, Agra.;November 5, 1990;B;AnnualReport1991;1452
1460;Principles and Publication;Complaint of Sh. Narendra Talwar against 'Vidrohi', Delhi.;March 20, 1991;A;AnnualReport1991;1460
1466;Principles and Publication;Complaint of Sh. K. Vijaya Rama Rao, Commissioner of Police, Hyderabad against The Sunday Weekly'.;November 5,1990;A;AnnualReport1991;1466
1495;Press and Defamation;Complaint of Sh. Ram Kumar Srivas against 'Madhya Yug'.;July 12, 1990;A;AnnualReport1991;1495
1500;Press and Defamation;Complaint of the Director I&RD U.P. against 'Super Blaze'.;July 12, 1990;B;AnnualReport1991;1500
1502;Press and Defamation;Complaint of Ms. Komal G. B. Singh, against 'Mid-Day'.;July 12,1990;A;AnnualReport1991;1502
1521;Press and Defamation;Complaint of Sh. Krishna Dev Pandey, Journalist regarding threats from the police and the editor, 'Dainik Jagran', Gorakhpur, U.P.;November 5,1990;B;AnnualReport1991;1521
1527;Press and Defamation;Complaint of Sh. S. Ramaswamy, General Manager, Ordinance Clothing Factory, Shahjahanpur against Navjeevan, Lucknow.;November 5,1990;A;AnnualReport1991;1527
1533;Press and Defamation;Complaint of the Managing Director (M/s. Vayudoot Ltd.) against 'Mid-Day' issue dated March 31, 1989.;January 21, 1991;A;AnnualReport1991;1533
1535;Press and Defamation;Complaint of Sh. M. Gopalkrishnan, Reliance Industries Ltd. against 'Mid-Day'.;January 21, 1991;C;AnnualReport1991;1535
1568;Principles and Publications;Complaint of Sh. Ajay Gautam, New Delhi against Hindustan. (14/93/17-18-PCI);29-05-2019;Censured;AnnualReport2020;1568
1642;Principles and Publications;Complaint of Shri Mohammad Sameer, Jaipur, Rajasthan against Hindustan, New Delhi. (14/191/18-19-PCI);29-05-2019;Disposed of with direction;AnnualReport2020;1642
1691;Principles and Publications;Complaint of Ms. Pratiksha Godara, Superintendent;of Police, Sonipat, Haryana against the Editor, Dainik Jagran, Jagran Prakashan Ltd., Jagran Building, Kanpur, U.P. (14/341/18-19-PCI)15-11-2019;Dismissed;AnnualReport2020;1691
1715;Press and Morality;Complaint of Smt. Durga Devi Dadhich, Phulera, rajasthan against Thane Ki Awaz, Thane, Maharashtra. (14/426/18-19-PCI);15-11-2019;Dismissed;AnnualReport2020;1715
1721;Suo-Motu Cognizance;Suo-Motu cognizance with regard to publication of classified, obscene and vulgar advertisements by Rashtriya Sahara, New Delhi.. (14/127/Suo-Motu/19-20-PCI);15-11-2019;Dropped the proceedings;AnnualReport2020;1721
1722;Suo-Motu Cognizance;Suo-Motu cognizance with regard to publication of obscene and vulgar advertisements by Hindustan, New Delhi. (14/11/Suo-Motu/19-20-PCI);15-11-2019;Censured;AnnualReport2020;1722
1723;Suo-Motu Cognizance;Suo-motu cognizance with regard to publication of classified, obscene and vulgar advertisements by Dainik Jagran, New Delhi. (14/128/Suo-Motu/19-20-PCI);15-11-2019;Censured;AnnualReport2020;1723
1724;Suo-Motu Cognizance;Suo-motu cognizance with regard to publication of Paid/Fake news by Andhra Jyoti. (14/5/Suo-Motu/19-20-PCI);15-11-2019;Censured;AnnualReport2020;1724
1726;Paid News;Reference from former Member, PCI regarding publication of Paid News by The Hindu, Thiruvanantha-puram. (14/1046/Paid News/14-15-PCT);22-08-2019;Disposed of;AnnualReport2020;1726
1727;Paid News;Reference from MCMC. Jind, Haryana with regard to publication of Paid News by Hari Bhoomi, Rohtak, Haryana. (14/166/Paid News/19-20-PCI);15-11-2019;Dismissed;AnnualReport2020;1727
1728;Paid News;Reference from MCMC, Jind, Haryana with regard to publication of Paid News by Dainik Bhaskar (Jind Bhaskar), Panipat, Haryana. (14/167/Paid News/19-20-PCI);15-11-2019;Dismissed;AnnualReport2020;1728
1729;Paid News;Reference from MCMC, Jind, Haryana with regard to publication of Paid News by Jind Jagran (Dainik Jagran), Panipat, Haryana. (14/168/Paid News/19-20-PCT);15-11-2019;Dismissed;AnnualReport2020;1729
1730;Paid News;Reference from MCMC, Jind, Haryana with regard to publication of Paid News by Punjab Kesari (Jind Kesari). (14/169/Paid News/19-20-PCI);15-11-2019;Dismissed;AnnualReport2020;1730
1731;Paid News;Reference received from the CEO, Rajasthan through ECI with regard to publication of Paid News by the Editor, Jagruk Janta. (14/693/Paid News/18-19-PCI);15-11-2019;Censured;AnnualReport2020;1731
1732;Paid News;Reference received from the CEO, Rajasthan through ECI with regard to publication of Paid News by the (14/668/Paid News/18-19-PCI) Editor, Sandhya Dainik Yorkar.;15-11-2019;Censured;AnnualReport2020;1732
1733;Paid News;Reference received from the CEO, Rajasthan through ECI with regard to publication of Paid News by the Editor, Nav Yuvak Ki Lalkar.. (14/674/Paid News/18-19-PCI);15-11-2019;Censured;AnnualReport2020;1733
1734;Paid News;Reference received from the CEO, Rajasthan through ECI with regard to publication of Paid News by the Editor, Bajaria Ki Bhor. (14/678/Paid News/18-19-PCT);15-11-2019;Censured;AnnualReport2020;1734
1735;Paid News;Reference received from the CEO, Rajasthan through ECI with regard to publication of Paid News by the Editor, Hukamnama Samachar. (14/680/Paid News/18-19-PCI);15-11-2019;Censured;AnnualReport2020;1735
1736;Paid News;Reference received from the CEO, Rajasthan through ECI with regard to publication of Paid News by the Editor, Royal Patrika. (14/691/Paid News/18-19-PCI);15-11-2019;Censured;AnnualReport2020;1736
1737;Paid News;Reference received from the CEO, Rajasthan through ECI with regard to publication of Paid News by the Editor, Jaipur Times. (14/692/Paid News/18-19-PCI);15-11-2019;Censured;AnnualReport2020;1737
1749;Principles and Publication;Complaint of 'Deshbandhu', Raipur through its Editor, Shri Lalit Surjan against Nava Bharat, Raipur.;January 13, 1992;A;AnnualReport1992;1749
1750;Principles and Publication;Complaint of Shri Lalit Surjan, Editor, Deshbandhu against Nava Bharat, Raipur.;January 13, 1992;B;AnnualReport1992;1750
1756;Principles and Publication;Complaint of Shri Gurbir Singh, General Secretary, Bombay Union of Journalists, The Times of India, New Delhi.;March 26, 1992;B;AnnualReport1992;1756
1758;Communal, Casteist and Anti-National Writings;Complaint of Major General E. D'Souza, PVSM (Retd.), Executive Director, National Convention Catho-lics against Sunday Mail.;September 23, 1991;A;AnnualReport1992;1758
1760;Communal, Casteist and Anti-National Writings;Complaint of Shri Syed Shahabuddin 'Organiser' Weekly, New Delhi.;September 23, 1991;A;AnnualReport1992;1760
1764;Communal, Casteist and Anti-National Writings;Complaint of Director, Information & Public Relations Department, Govern-ment of Uttar Pradesh, Lucknow agai-nst the Editor, Dainik Amar Ujala, Agra.;March 26, 1992;A;AnnualReport1992;1764
1765;Communal, Casteist and Anti-National Writings;Complaint of Shri Syed N. Kazi, Presi-dent, Muslim Opinion, Thane against Lok Satta, Bombay.;March 26, 1992;C;AnnualReport1992;1765
1781;Press and Defamation;Complaint of Shri Amrik Singh Sethi against Daily Ranjit, Patiala.;July 8, 1991;A;AnnualReport1992;1781
1786;Press and Defamation;Complaint of Shri Santosh Kumar Choudhary, District Employment Officer, Munger, Bihar against Hindustan, Patna.;July 8, 1991;A;AnnualReport1992;1786
1816;Press and Defamation;Complaint of Shri Krishna Autar Goel, Leader, Janata Dal against Ujala', daily, Bareilly, U.P. 'Amar;January 13, 1992;A;AnnualReport1992;1816
1824;Press and Defamation;Complaint of General Manager of Damodar Valley Corporation, Alipore, Calcutta against Hindi daily, 'Aaj', Patna, Bihar.;March 26, 1992;A;AnnualReport1992;1824
1831;Press and Defamation;Complaint of Shri Deepak Arora agai-nst 'Nav Bharat Times', New Delhi.;March 26, 1992;A;AnnualReport1992;1831
1832;Press and Defamation;Complaint of Shri Janardan Giri, Dy. Labour Commissioner, Bokaro Steel City, Dhanbad, Bihar against 'Awaz', Hirapur, Dhanbad, Bihar.;March 26, 1992;C;AnnualReport1992;1832
1835;Press and Defamation;Complaint of Dr. J. K. Agarwal, 'Chief Medical Officer, Bijnor against 'Kantak Path', Bijnore, Uttar Pradesh.;AJanuary ;13,1992;AnnualReport1992;1835
1853;Principles and Publication;Complaint of Miss Bindu Bhama against Jansatta, New Delhi.;December 21-22, 1989;(A);AnnualReport1990;1853
1858;Principles and Publication;BES & WU vs Deccan Chronicle;March 26-27, 1990;(A);AnnualReport1990;1858
1877;Principles and Publication;Complaint of Shri M.J. Pandey, General Secretary, Bombay Union of Journalists against Loksatta.;December 21-22, 1989;(A);AnnualReport1990;1877
1881;Principles and Publication;Complaint of Shri M.J. Pandey, General Secretary, Bombay Union of Journalists against Janmabhoomi Pravasi.;December 21-22, 1989;(A);AnnualReport1990;1881
1898;Press and Defamation;Complaint of Shri G.T. Parshde, Hon. Director MCJ Course, Department of Mass Communication, Nagpur University vs. Nagpur Times.;June 29-30,1989;(C);AnnualReport1990;1898
1903;Press and Defamation;Complaint of Shri Mohammed Yaqub Sheikh against Jansatta, Chandigarh.;June 29-30,1989;(A);AnnualReport1990;1903
1911;Press and Defamation;Complaint of Indian Medical Association, Itarsi against Saptahik Nagar Katha, Itarsi,;September 28-29,;(C);AnnualReport1990;1911
1913;Press and Defamation;Amar Nath Sharma vs. Riddhi Siddhi.;September 28-29,;(A);AnnualReport1990;1913
1923;Press and Defamation;Complaint of Dr. S.V. Gharpure against Mid-day.;December 21-22,1989;(D);AnnualReport1990;1923
1925;Press and Defamation;Complaint of Shri R.V. Gangal, President Dadar Bar Association against Navakal;December 21-22,1989;(A);AnnualReport1990;1925
1926;Press and Defamation;Complaint of Shri O.P. Gupta against The Page. (A);December 21-22,1989;(A);AnnualReport1990;1926
1928;Press and Defamation;Complaint of the Deputy General Manager, UCO;Bank, Lucknow Branch against editor of Begunah.;(A);AnnualReport1990;1928
1929;Press and Defamation;Complaint of Shri Peethambaran, Secretary, Indraprastha Estate Sahkari Avas Samiti Ltd. against Amar Ujala, Meerut.;Bank, Lucknow Branch against editor of Begunah.;(A);AnnualReport1990;1929
1935;Press and Defamation;Complaint of the Director, National Institute for Visually Handicapped, Dehradun against Super Blaze.;Bank, Lucknow Branch against editor of Begunah.;(C);AnnualReport1990;1935
1950;Press and Defamation;Complaint of Jt. Secretary, Dibrugarh University Teachers Association against Janambhoomi.;March 26-27,1990;(D);AnnualReport1990;1950
1958;Press and Defamation;Complaint of Shri P.K.V. Gouripati Sastry against Sunday, Calcutta.;March 26-27,1990;(B);AnnualReport1990;1958
1963;Press and Defamation;Complaint of Shri Rajendra Rajan, Informa-tion Officer H.P. Department of Public Relations, Shimla against Jansatta, Chandigarh edition.;March 26-27,1990;(C);AnnualReport1990;1963
1967;Press and Defamation;Complaint of Dr. Walter Fernandes, Indian Social Institute, New Delhi against Organiser, New Delhi.;March 26-27,1990;(A);AnnualReport1990;1967
1982;Principles and Publication;Suo-motu action on reference from Election  Commission of India against Dainik Hindustan  for publication of allegedly ‘Paid News’ during  election in the grab of news;December 21, 2012;Censured;AnnualReport2013;1982
1983;Principles and Publication;Suo-motu action on reference from Election  Commission of India against Dainik Jagran,  for publication of allegedly ‘Paid News’ during  election in the grab of news;December 21, 2012;Censured;AnnualReport2013;1983
1984;Principles and Publication;Suo-motu action on reference from Election Commission of India against Prabhat Khabar for publication of allegedly ‘Paid News’ during  election in the grab of news;December 21, 2012;Cautioned;AnnualReport2013;1984
1985;Principles and Publication;Suo-motu action on reference from Election Commission of India against Aaj, for  publication of allegedly ‘Paid News’ during  election in the grab of news;December 21, 2012;Censured;AnnualReport2013;1985
1986;Principles and Publication;Suo-motu action on reference from Election  Commission of India against Rashtriya Sahara  for publication of allegedly ‘Paid News’ during  election in the grab of news;December 21, 2012;Censured;AnnualReport2013;1986
1987;Principles and Publication;Suo-motu action on reference from Election Commission of India against The Hindustan Times for publication of allegedly ‘Paid News’  during election in the grab of news;December 21, 2012;Censured;AnnualReport2013;1987
1988;Principles and Publication;Suo-motu action on reference from Election Commission of India against Purvanchal Ki Raah for publication of allegedly  ‘Paid News’ during election in the grab of  news;December 21, 2012;Censured;AnnualReport2013;1988
1989;Principles and Publication;Suo-motu action on reference from Election Commission of India against Vyapar Times for  publication of allegedly ‘Paid News’ during  election in the grab of news;December 21, 2012;Censured;AnnualReport2013;1989
2128;Principles and Publication;Complaint of Shri V.M. Bedse, Nasik, Maharashtra against the;March 27, 2012;off with directions/ observations;AnnualReport2012;2128
2130;Principles and Publication;Complaint of Shri V.M. Bedse, Nasik, Maharashtra against the;March 27, 2012;Disposed off with directions observations;AnnualReport2012;2130
2209;Principles and Publications;Complaints of (i) Prof. G.S. Paliwal, Prof. & Head, Department of Botany, HNB Garhwal University (ii) Dr. Komal Singh Rajput, Project Officer, HNB Garhwal University against Amar Ujala, Meerut, U.P.;June 19, 1995;A;AnnualReport1996;2209
2222;Principles and Publications;"Complaint of Shri P.K. Chandranandan Secretary, District Committee of C.P.I. (M) D.C. Thiruvampady against ""Mathrubhumi"" Kerala.";January 8, 1996;A;AnnualReport1996;2222
2251;Principles and Publications;Complaint of Shri R.L. Kain, General Sec-retary, Dr. B.R. Ambedkar Vichar Manch, Delhi against Jansatta issue date 7.5.94.;October 12, 1995;C;AnnualReport1996;2251
2252;Principles and Publications;Complaint of Shri Sambhu Nath Sikkiria, General Secretary, Centre for Social Jus-tice, Patna against;'Cricket Samrat', a Magazine, New Delhi.;D;AnnualReport1996;2252
2259;Principles and Publications;Complaint of D.C.P. Special Branch (I) C.I.D., Bombay against Editor, Saamna, Marathi daily, Bombay.;January 8, 1996;A;AnnualReport1996;2259
2264;Principles and Publications;Complaint of The Deputy Secretary to the Government of Assam against 'Saddin', Guwahati.;March 25, 1996;D;AnnualReport1996;2264
