Person;Affiliation;PrimaryKey
Dr. P.N. Chaturvedi; District Combined Hospital;408
Shri Devender Gupta; Correspondent Raj Express;410
Shri Malkhe Dikshit; Sr. Sub-Inspector Police Station;411
Shri Lal Singh; Editor Hathras Samachar;412
Shri Naveen Mittal; Owner/Publisher/ Editor Rajasva Ka Prahari;413
Commercial Tax Officer; Office of the Commercial Tax;413
Editor; Namaste Bharat;414
Smt. Rekha Rathore; SDM;415
Shri Naresh Khattar; Chief Editor Daurti Delhi;416
Shri Suresh Malik; Chairman Shri Sanatan Dharam Mandir;416
Shri Ramchander Kumar Anjana; Correspondent Hindustan;417
Shri Ramod Kumar Singh; SHO Thermal Bokaro Police Station;417
Shri Om Prakash Tiwari; Advocate and Police Authority;418
Shri Kanahiyalal Vishvakarma; Chief Editor Bundelkhand Suvarta;419
Shri Om Prakash Verma; Editor Ratriman;420
Shri Nihaal Hussain; Chief Editor/ Publisher Sab Pe Nazar;422
Dr. Neeraj Kumar; Journalist Naya Kya Hai;423
Mohd. Akram Khan; Journalist Bhrashtachar Kyon;424
Shri Vinod Kumar Kudheshiya; Chief Editor Dreamland;425
Shri Haridas Verma; S.H.O.;425
Shri Mahavir Jain; Editor Dainik Marulehar;428
Shri Mevaram Jain; MLA Barmer and the Police Authorities;428
Shri Lakshman Singh Maidh; Editor Rashtriya Chetana;430
Dr. Surbhi Vashishth; Medical Officers Government Hospital;430
Dr. Vinayak Gaur; Medical Officers Government Hospital;430
Shri S. Manimaran; Editor Thinaboomi;431
Shri Sanjay Bhati; Editor Supreme News;432
Shri Mohan Sharma; Editor Rajasthani Chirag Daily;433
Commissioner; Information & Public Relations Department;433
Shri Shakti Pratap Singh; Local Correspondent Aaj Hindi Dainik;434
Shri Dilbar Gothi; Metro Editor Navbharat Times;435
S/Shri Deepak Gothi;of Bandematram Press;435
Taj Gothi;of Bandematram Press;435
Shri Raj Bahadur Yadav; Photographer Hindustan;436
Chief Editor; Vashisht Times;438
Shri Ravi Shankar Shukla; Divisional General Secretary Chhattisgarh Shramjivi Patrakar Sangh;440
Shri Omprakash Baghel; Chief Editor Dunia Ek Nazar Mein;441
Shri Avdesh Kumar Verma; Correspondent Swatantra Bharat;443
Shri Keshav Dutt Chandola; Publisher Nagraj Darpan;445
Shri Satish Kumar Arya; Editor Prem Vani;446
Deputy Director; Information and Public Relations Department;446
Shri Prabodh Jamwal; Publisher The Kashmir Times;448
The Director; DAVP;448
Shri Prabodh Jamwal; Publisher The Jammu Prabhat;449
The Director; DAVP;449
Shri Prabodh Jamwal; Publisher The Kashmir Times;450
The Director; DAVP;450
Shri Rakesh Kumar; Sector Magistrate Sharda Nagar Presently Assistant Engineer Irrigation Department;451
Shri Prabhakar Shukla; Chief Editor Detective Media;452
Shri Sanjay Singh; Block Development Officer;452
Shri Tapesh Kumar Basu; Editor Halfil Khabor;453
Director of Information; Department of Information & Cultural Affairs;453
Commissioner; Municipal Council;454
Barmer; Department of Local Bodies;454
Director; Department of Local Bodies;454
Dr. Sajal Basu; Chief of News Bureau;455
Director; Department of Information & Cultural Affairs;455
Shri Jasbir Singh Sukhija; Chief Editor / Publisher / Printer / Proprietor Dashmesh Pita;456
Shri Ishwar Singh; District Public Relations Officer Government of Punjab;456
Shri Leeladhar Peepal; Editor Hatras Gaurav;457
District Additional Information Officer; I&PRD;457
Shri Syed Mujaddid Hasan; Editor Akbar Times;458
Director; I&PRD;458
Shri T. Koti Reddy; Secretary Hyderabad Union of Journalists;459
Sh. K. Narendra; Editor The Daily Pratap;461
Sh. Avanti Lal Jaiswal; Representative Weekly Sputnik;463
Chief Editor; Dainik Rajiv Times;464
District Magistrate;and Police authorities Government of M.P.;464
Smt. Rukmani Pawar; publisher Dainik Pathakhera ka Saput;466
Sarani po-lice; Govt. of M.P.;466
Sh. Manni Lal Gupta; correspondent Navyug Satyam;467
Agriculture Officer; Govt. of U.P.;467
Sh. Komal Chand Verma; Correspondent/ Secretary U.P. Shramjivi Patrakar Union;468
Sh. Shashi Bhushan; Zonal President All India Small News-papers Association;469
Sh. Rajpal Singh;editor Ganesh Times;470
Sh. Kasim Rizvi; Ed-itor Sugam Samachar;471
Dy. Di-rector; Fishery Deptt.;471
Shri Kasim Rizvi; correspondent Blitz;472
Dy. Di-rector; Fishery Deptt Govt of U.P.;472
Chief Editor;of Chardikala;473
Sh. R. Shanmuga Raj; Editor and Publisher Puthiya Jananayagam;474
Sh. K.P. Srivas; Bilaspur correspondent Weekly Hindi/Urdu Action;475
Editor; Prateek Times;476
Sh. V.G. Theodore; Freelance Journalist;477
General Secretary; Goa Union of Journalists;479
Sh. Subhash Jain; Ad-vocate and Editor  Aaj Ki Janata;480
Sh. Shankar Lal Saini; District correspondent;481
Sh. Joginder Singh Bisht;based correspondent. of Navbharat Times;482
Sh. Brijendra Kumar Mishra; Journalist Baharaich Mail;485
Sh. Ajay Kumar Bose; Correspondent Madhyaken Weekly;486
Sh. Shravan Gaurav; Na-tional Vice-President Small Press Association of India;486
Sh. Savika Dharampal; Publisher and Editor Daily 'Savika;487
Sh. Naveen Kumar Sharma; Journalist Dainik Udgaar;489
Sh. Ramesh Sahu; Chief Editor  Hindu Ki Garjana;490
Dr. A.S. Khan; Editor  Jag Bharat Times;491
